2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c6, val: 1f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c7, val:  5
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c8, val:  5
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c9, val:  5
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ca, val: 26
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  cb, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  cc, val:  8
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  cd, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ce, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  cf, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d0, val: 57
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d1, val:  c
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2863 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d2, val:  4
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d3, val: 60
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d4, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d5, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d6, val:  4
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d7, val: 1e
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d8, val:  5
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  d9, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  da, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  db, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  dc, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  dd, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  de, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  df, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e0, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e1, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e2, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e3, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e4, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e5, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e6, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e7, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e8, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  e9, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ea, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  eb, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ec, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ed, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ee, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ef, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f0, val: 3f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f1, val: a7
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f2, val: ff
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f3, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f4, val:  0
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2879 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f5, val: 78
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f6, val:  2
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f7, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f8, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  f9, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  fa, val: e0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  fb, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  fc, val: 23
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  fd, val: 28
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  fe, val: 44
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ff, val: 19
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2895 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 100, val: 6f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 101, val:  a
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 102, val: 29
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 103, val:  8
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 104, val: 2f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 105, val: 3a
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 106, val: 25
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 107, val: 2b
